No,Team,Mascot,Div,Logo,,Color1,Color2,Lg
1,Cheesequake,Cheddar,Big Train,https://i.imgur.com/3O8bf7l.jpg,Picture,#ffff00,#1c4587,NL
2,New York,Valkyries,Oil Can,https://i.imgur.com/EMhNxqy.png,Picture,#ffd966,#1c4587,AL
3,Central City,Speedsters,Stan the Man,https://i.imgur.com/HJPCXy2.jpg,Picture,#ffd800,#cc0000,NL
4,Dallas,Perwar,Sultan of Swat,https://i.imgur.com/HKESK0R.jpg,Picture,#993300,#ffffff,AL
5,Milwaukee,DockHounds,Oil Can,https://i.imgur.com/qQPrEVm.jpg,Picture,#cccccc,#1c4587,AL
6,Lion,King,Sultan of Swat,https://i.imgur.com/u2XCHRq.png,Picture,#eb1c24,#000000,AL
7,Chicago,Kodiaks,Splendid Splinter,https://i.imgur.com/DRGB3rI.png,Picture,#ffcc00,#04382e,AL
8,Region,Rats,Stan the Man,https://i.imgur.com/vIuYHdW.png,Picture,#e9dcb7,#000000,NL
9,Denver,Bears,Big Train,https://i.imgur.com/PS31ZdO.jpg,Picture,#133042,#eadcb8,NL
10,Brooklyn,TOOTBLANs,Stan the Man,https://i.imgur.com/APlhWQf.jpg,Picture,#64387d,#ffffff,NL
11,Chicago,Orphans,Oil Can,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj-sIsg5lF6WegTEnJl5t43W7pKPloRGB1cP-aA_lDnoTsoPh5pn3PkTHx9RQG9SpTGfvOIFmIXuilH245jKjg_btcTWGD0T640o8YM1KCeKadVXiLiBahdPTeeSbUzvpYaGIEgGdzFEUs/s1600/chicago_orphans.png,Picture,#0e3386,#f1c232,AL
12,Midwest,Ducksnorts,Splendid Splinter,https://i.imgur.com/HtxTSVy.jpg,Picture,#ff9900,#38761d,AL
13,Nuremberg,GmbH,Stan the Man,https://i.imgur.com/i9eCS0Q.png,Picture,#e31013,#073763,NL
14,Honolulu,Hitmen,Say Hey Kid,https://i.imgur.com/kaUZ0ui.png,Picture,#57d3f0,#073763,NL
15,Durham,Tobacconists,Big Train,https://i.imgur.com/L1ff0VB.jpg,Picture,#000000,#eeeeee,NL
16,Quebec,Quails,Big Train,https://i.imgur.com/m2OCC4W.jpg,Picture,#1769ac,#ffffff,NL
17,London,Calling,Sultan of Swat,https://i.imgur.com/dKGMhKS.png,Picture,#cc0000,#094fa3,AL
18,Los Angeles,Bulldog,Splendid Splinter,https://i.imgur.com/cPE7evw.png,Picture,#0b5394,#ffffff,AL
19,Frozen,Ropes,Say Hey Kid,https://i.imgur.com/lZEc6uK.png,Picture,#1c4587,#783f04,NL
20,Winterfell,Starks,Say Hey Kid,http://ca.slack-edge.com/T7M3L4E2H-U7QRQK7H6-1c43b546dcfe-512,#BLOCKED!,#93c47d,#1f2640,NL
21,Bad,Guys,Sultan of Swat,https://i.imgur.com/AzHIGk2.jpg,Picture,#963aa8,#efd0a1,AL
22,Hill Valley,McFlys,Oil Can,https://i.imgur.com/shKhjpf.jpg,Picture,#8bb9b1,#1155cc,AL
23,Asbury Park,Bosses,Splendid Splinter,https://i.imgur.com/B0iKZA1.jpg,Picture,#6d9eeb,#ffeb01,AL
24,Old Sturbridge,Villagers,Say Hey Kid,https://i.imgur.com/30udl66.jpg,Picture,#85200c,#ffffff,NL
