No,W,L,pct.,GB,ERA,CG,ShO,RS,Sv,IP,R,ER,H,BA,BB,K,WP,AB,R,H,D,T,HR,RBI,BB,K,BA,OBA,SlgA,SH,F,SF,GDP,SB,CS,LOB,OP,DP,E,OSB,OCS,PB
1,73,46,.613,3,3.32,2,14,4.4,46,1060.1,435,391,972,.240,389,990,28,4122,521,1023,181,15,152,517,412,974,.248,.315,.410,3,5,19,88,23,4,891,123,81,68,50,19,6
2,79,40,.664,-,3.02,2,13,4.9,31,1064.2,400,357,884,.219,369,1108,45,4089,589,1033,187,14,179,584,529,965,.253,.336,.437,4,2,27,84,22,7,945,119,69,71,36,2,3
3,69,50,.580,-,3.61,1,15,5.0,33,1076,484,431,926,.227,511,1030,40,4216,591,1084,218,13,153,583,507,1147,.257,.334,.424,0,0,34,67,102,25,982,117,84,82,45,10,6
4,36,83,.303,35,4.83,5,7,3.5,15,1048.2,608,563,1083,.263,517,896,41,4040,419,923,177,8,96,413,395,901,.228,.295,.348,12,7,31,91,13,1,868,84,105,72,66,10,8
5,53,66,.445,26,3.42,3,10,3.8,22,1055.1,449,401,911,.227,426,865,32,3958,457,892,172,13,101,452,391,1007,.225,.293,.352,49,18,32,64,89,29,802,116,68,77,51,13,9
6,71,48,.597,-,3.51,1,10,5.3,30,1055.2,446,412,924,.230,368,1085,33,4184,634,1136,207,7,148,624,452,997,.272,.340,.430,2,2,41,77,86,21,917,123,61,52,33,14,3
7,77,42,.647,-,3.12,3,17,5.0,38,1054,398,365,881,.221,348,1015,21,4069,598,1023,197,23,157,581,609,1035,.251,.346,.427,6,3,35,79,69,12,1001,135,74,59,42,6,2
8,57,62,.479,12,4.10,5,6,4.1,37,1059,518,482,967,.237,487,1057,38,4062,487,974,188,14,126,477,429,968,.240,.310,.386,39,17,35,99,27,5,884,105,65,54,60,9,7
9,61,58,.513,15,3.67,6,11,4.3,30,1064,468,434,964,.238,396,1094,33,4087,508,992,195,18,128,503,488,987,.243,.322,.393,4,1,23,96,39,19,928,129,75,42,46,10,7
10,44,75,.370,25,5.11,5,9,3.6,25,1056,648,599,1159,.276,436,871,36,3983,427,926,168,9,93,421,369,1017,.232,.296,.349,75,29,29,81,15,6,846,80,103,64,62,14,11
11,57,62,.479,22,3.89,0,10,4.3,29,1064,499,460,985,.242,435,1085,32,4106,517,1006,192,14,146,512,457,995,.245,.318,.405,17,9,44,73,36,8,931,111,90,65,48,11,6
12,68,51,.571,9,3.18,2,17,4.6,26,1060,404,374,854,.215,419,1086,28,4111,553,1028,179,17,171,539,481,919,.250,.327,.427,1,1,25,81,104,11,934,125,59,62,38,14,6
13,47,72,.395,22,4.78,5,7,4.1,31,1049.2,603,558,1044,.256,516,1000,39,4023,492,931,195,15,141,485,479,1055,.231,.312,.392,12,5,23,70,53,19,882,116,98,63,56,13,6
14,67,52,.563,-,3.39,2,14,4.5,35,1062,438,400,906,.225,367,997,42,4115,541,1033,209,21,164,533,390,1027,.251,.314,.432,6,2,28,81,82,24,840,128,73,65,36,15,2
15,61,58,.513,15,3.97,3,10,4.2,35,1059.2,509,468,994,.244,439,995,33,4081,497,994,201,12,105,485,485,965,.244,.322,.376,12,5,34,88,33,16,954,99,85,58,34,12,4
16,76,43,.639,-,2.95,3,17,4.6,31,1071.1,394,351,876,.219,405,1182,30,4081,552,1003,182,13,151,546,502,1179,.246,.327,.408,11,3,24,69,66,22,936,138,71,58,38,18,6
17,63,56,.529,8,3.88,1,10,4.7,34,1068.2,498,461,1007,.246,397,1044,30,4154,558,1060,193,25,143,551,433,985,.255,.323,.417,7,5,42,73,57,19,915,107,89,54,37,15,3
18,66,53,.555,11,4.05,3,10,4.4,43,1063.1,520,479,991,.242,465,1041,39,4114,518,1042,215,14,97,509,417,970,.253,.319,.383,9,3,39,88,25,1,916,92,77,82,34,11,10
19,54,65,.454,13,3.88,2,9,3.7,37,1063.1,521,459,1005,.245,471,923,28,4050,435,935,195,14,128,429,377,1028,.231,.295,.381,27,11,24,77,34,7,864,120,80,86,65,16,6
20,41,78,.345,26,5.58,5,6,4.1,26,1062,697,658,1184,.280,519,940,47,4082,490,956,176,11,163,485,452,1077,.234,.309,.402,17,8,26,80,27,4,894,116,115,63,35,17,8
21,43,76,.361,28,5.05,3,7,3.5,21,1056,641,593,1126,.268,482,871,39,4059,413,946,185,11,78,401,354,897,.233,.293,.342,28,7,27,92,1,0,865,84,86,89,64,7,9
22,44,75,.370,35,4.84,10,7,3.5,22,1063.1,627,572,1064,.257,552,1032,49,4015,412,853,141,13,133,403,403,998,.212,.283,.353,17,8,27,77,23,13,830,98,98,79,39,6,5
23,65,54,.546,12,3.44,0,8,4.4,29,1064.1,457,407,973,.237,413,1008,32,4106,526,995,188,11,176,518,417,1043,.242,.311,.422,1,1,19,104,5,4,857,97,65,77,37,11,9
24,56,63,.471,11,4.50,1,4,4.2,37,1066,575,533,1095,.261,482,976,36,4106,502,987,195,31,140,494,381,1055,.240,.303,.405,34,11,27,75,63,11,853,124,83,66,42,15,8
